DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
123876-84709,Mitchell Robinson,C,NY,BOS,,3900,0,18.39,,18.39,4.7153846153846155,0.32,0.3700707266631611,0,100,114.9857,230.1754,17.3306,13.25,17.25,21.375,23.875,28.375,34.5,18.3944,13.9,18.15,22.8,25.6,30.7,37.5505,18.3944,13.9,18.15,22.8,25.6,30.7,37.5505,18.2865,13.85,18.05,22.6,25.35,30.3,37.4,6.11684,6.80798,6.80798,6.64949,3.73066,18.2831,1.59034,0.0201667,7.95817,1.7555,6.20266,0.574417,0.76625,0.932666,0.576334
123876-228169,Micah Peavy,SG,NO,MIN,,4000,0,18.35,,18.35,4.5875,1.19,1.2514269283204889,0,100,109.2295,231.5085,18.5279,13.625,18,22.75,25.375,30.125,35.6275,18.3503,13.35,17.85,22.7,25.6075,30.4025,36.0005,18.3503,13.35,17.85,22.7,25.6075,30.4025,36.0005,18.5719,13.75,18.05,22.7625,25.4,30.15,35.35,6.72783,6.96358,6.96358,6.69076,8.07263,23.4212,1.6445,1.04979,2.04521,0.594042,1.45116,3.70012,1.00513,0.180667,1.36937
123876-188429,Kris Murray,SF,POR,TOR,,3900,0,18.28,,18.28,4.687179487179487,1.17,1.2398777023806886,0,100,113.9655,231.7748,17.6865,13.125,17.375,21.875,24.5,29,34.75,18.2813,13.4,17.95,22.8,25.6075,30.75,36.551,18.2813,13.4,17.95,22.8,25.6075,30.75,36.551,18.156,13.55,17.8,22.45,25.1,30.05,35.6005,6.50574,7.03987,7.03987,6.71244,5.976,23.3827,1.25383,0.846,4.24425,1.09425,3.15,2.02158,1.3065,0.4635,1.03642
123876-203727,Ja'Kobe Walter,SG,TOR,POR,,4000,0,18.02,,18.02,4.505,1.16,1.2677393808945452,0,100,117.8093,231.7748,18.0442,14.125,18.25,22.875,25.625,30.5,36.125,18.0248,13.9,18.25,23.15,25.9,30.9025,36.6505,18.0248,13.9,18.25,23.15,25.9,30.9025,36.6505,18.0871,14.1,18.3,22.9,25.6075,30.45,36,6.63694,6.87771,6.87771,6.60591,9.45035,24.4475,1.75691,1.31741,3.57266,0.854917,2.71775,1.254,1.08592,0.33675,1.13841
123876-188457,Jordan Walsh,SF/SG,BOS,NY,,4100,0,18.01,,18.01,4.392682926829269,1.13,1.2604005318624487,0,100,115.1897,230.1754,18.1239,14.125,18.25,22.625,25.125,29.625,34.75,18.012,13.8,18.175,22.8,25.4,30.1,35.2005,18.012,13.8,18.175,22.8,25.4,30.1,35.2005,18.2218,14.1375,18.3,22.7625,25.35,29.85,34.9005,6.35159,6.61965,6.61965,6.38973,6.34159,24.8591,1.17283,1.05075,5.78392,1.43509,4.34883,1.54592,0.814333,0.534416,1.14584
123876-203771,Adem Bona,C,PHI,WAS,,4500,0,17.59,,17.59,3.908888888888889,0.22,0.2233420678300386,0,100,123.2037,235.65800000000002,17.199,12.125,16,20.75,23.375,28.25,33.8763,17.5903,12.15,16.35,21.3,24.1,29.35,35.3005,17.5903,12.15,16.35,21.3,24.1,29.35,35.3005,17.7658,12.4,16.5,21.4,24.2,29.35,35.2015,6.3925,6.80509,6.80509,6.69346,5.502,20.9102,1.78616,0.394334,5.27567,1.16858,4.10709,1.62183,0.543833,0.70525,0.995585
123876-158854,Sam Hauser,SF/PF,BOS,NY,,3900,0,15.53,,15.53,3.982051282051282,0.59,0.5805394876370796,0,100,115.1897,230.1754,16.2245,11.25,15.5,20,22.7687,27.5,33.625,15.5317,10.7875,14.75,19.25,21.8,26.25,32.351,15.5317,10.7875,14.75,19.25,21.8,26.25,32.351,15.515,10.9,14.8,19.1,21.5575,26.0025,31.9005,6.54763,6.30239,6.30239,6.14941,8.1865,21.9123,0.5755,2.20925,2.83992,0.76775,2.07217,1.19475,0.5555,0.2505,0.524917
123876-228180,Caleb Love,SG/PG,POR,TOR,,4000,0,15.41,,15.41,3.8525,0.44,0.43045480638534267,0,100,113.9655,231.7748,16.3774,12.125,16.25,21.125,23.875,29.25,35.5013,15.4109,11.2,15.4,20.05,22.7,27.8525,33.951,15.4109,11.2,15.4,20.05,22.7,27.8525,33.951,15.8962,11.8,15.85,20.45,23.1,28.2,34.151,6.75467,6.62777,6.62777,6.51172,9.288,17.4111,2.03217,1.17375,3.41967,0.868167,2.5515,1.77934,0.275,0.118083,1.28333
123876-15636,Kentavious Caldwell-Pope,SG/SF,MEM,SA,,3700,0,15.33,,15.33,4.1432432432432424,0.81,0.8025511734720198,0,100,114.1667,232.11970000000002,15.0693,10.875,14.75,19.25,21.75,26.125,31.875,15.3274,11.05,15,19.6,22.25,26.7025,32.95,15.3274,11.05,15,19.6,22.25,26.7025,32.95,15.2041,11.05,14.9,19.3,21.8,26.2,32.1005,6.15976,6.40583,6.40583,6.14391,7.292,21.388,1.31167,1.22,1.62725,0.416084,1.21116,2.06517,0.989002,0.331917,0.719833
123876-171749,Jeremy Sochan,PF,SA,MEM,,3800,0,14.22,,14.22,3.7421052631578946,0.28,0.26401065565201254,0,100,117.953,232.11970000000002,14.0709,10.25,14.125,18.5,20.875,25.25,31,14.2178,10.35,14.2,18.75,21.35,26,31.901,14.2178,10.35,14.2,18.75,21.35,26,31.901,14.3178,10.5,14.3,18.7,21.25,25.75,31.65,5.97554,6.26867,6.26867,6.11137,5.70758,15.2795,1.85108,0.389167,3.74917,0.818,2.93116,1.7515,0.58125,0.33925,0.785833
