game_date,player,pos,team,opp,salary,proj_mins,ownership,fp_proj,projected_value,status,game_info,team_full_name,opp_full_name,db_player,gp_sl,usg_pct_sl,fp_sl,touches_sl,min_sl,poss_sl,gp_l10,usg_pct_l10,fp_l10,touches_l10,min_l10,poss_l10,gp_l5,usg_pct_l5,fp_l5,touches_l5,min_l5,poss_l5,gp_l3,usg_pct_l3,fp_l3,touches_l3,min_l3,poss_l3,fppm_sl,fppt_sl,fppp_sl,tpm_sl,tpp_sl,team_poss_sl,poss_pct_sl,implied_poss_sl,touches_ip_sl,touches_tpm_sl,fp_proj_it_sl,fp_proj_tpm_sl,team_fp_sl,fp_per_sl,fppm_l10,fppt_l10,fppp_l10,tpm_l10,tpp_l10,team_poss_l10,poss_pct_l10,implied_poss_l10,touches_ip_l10,touches_tpm_l10,fp_proj_it_l10,fp_proj_tpm_l10,team_fp_l10,fp_per_l10,fppm_l5,fppt_l5,fppp_l5,tpm_l5,tpp_l5,team_poss_l5,poss_pct_l5,implied_poss_l5,touches_ip_l5,touches_tpm_l5,fp_proj_it_l5,fp_proj_tpm_l5,team_fp_l5,fp_per_l5,fppm_l3,fppt_l3,fppp_l3,tpm_l3,tpp_l3,team_poss_l3,poss_pct_l3,implied_poss_l3,touches_ip_l3,touches_tpm_l3,fp_proj_it_l3,fp_proj_tpm_l3,team_fp_l3,fp_per_l3,team_salary,salary_share,team_ownership,team_minutes,minutes_avail
2025-12-02,Jaylen Brown,SF/SG,BOS,NY,9200,33.74,20.03,52.31,5.69,,,Boston Celtics,New York Knicks,Jaylen Brown,20,0.35,44.00,66.10,33.10,1351,10,0.36,48.00,68.80,34.50,703,5,0.37,55.50,72.40,36.10,369,3,0.39,59.70,78.30,37.10,225,1.33,0.67,0.65,2.00,0.98,1929,70.04,98.18,67.29,67.38,44.79,44.85,191.00,23.04,1.39,0.70,0.68,1.99,0.98,958,73.38,98.10,70.45,67.29,49.15,46.95,201.90,23.77,1.54,0.77,0.75,2.01,0.98,483,76.40,96.60,72.40,67.67,55.50,51.88,212.00,26.18,1.61,0.76,0.80,2.11,1.04,289,77.85,96.34,78.31,71.21,59.70,54.30,234.90,25.42,41500.00,22.17,58.60,193.22,46.78
2025-12-02,Tyrese Maxey,PG,PHI,WAS,10400,36.46,24.36,47.08,4.53,,,Philadelphia 76ers,Washington Wizards,Tyrese Maxey,19,0.29,53.60,107.30,40.70,1628,10,0.30,51.70,109.60,40.00,843,5,0.29,53.90,122.00,41.80,457,3,0.26,46.80,113.70,42.00,277,1.32,0.50,0.63,2.64,1.25,1955,83.27,101.84,106.20,96.13,53.05,48.02,217.70,24.62,1.29,0.47,0.61,2.74,1.30,1035,81.45,101.03,106.98,99.90,50.47,47.13,219.40,23.56,1.29,0.44,0.59,2.92,1.33,549,83.24,103.03,114.48,106.42,50.58,47.02,224.80,23.98,1.11,0.41,0.51,2.71,1.23,334,82.93,102.66,104.84,98.71,43.15,40.63,219.90,21.28,49700.00,20.93,82.32,218.99,21.01
2025-12-02,Anthony Edwards,SG/SF,MIN,NO,9500,34.58,24.85,46.26,4.87,,,Minnesota Timberwolves,New Orleans Pelicans,Anthony Edwards,16,0.31,43.30,72.90,33.30,1127,10,0.30,47.50,81.90,37.10,785,5,0.32,52.80,85.00,38.80,401,3,0.31,44.90,82.70,37.80,227,1.30,0.59,0.61,2.19,1.03,2027,55.60,100.63,57.91,75.69,34.39,44.96,223.00,19.42,1.28,0.58,0.61,2.21,1.04,1019,77.04,101.47,81.55,76.33,47.30,44.27,222.10,21.39,1.36,0.62,0.66,2.19,1.06,503,79.72,99.38,83.97,75.75,52.16,47.05,212.10,24.89,1.19,0.54,0.59,2.19,1.09,289,78.55,97.14,83.39,75.65,45.28,41.07,207.40,21.65,47500.00,20.00,103.95,213.95,26.05
2025-12-02,Deni Avdija,SF/PF,POR,TOR,9600,34.46,15.37,45.63,4.75,,,Portland Trail Blazers,Toronto Raptors,Deni Avdija,20,0.28,43.10,86.30,34.10,1475,10,0.28,44.40,88.50,34.30,728,5,0.27,44.70,94.20,34.30,364,3,0.28,52.40,97.70,36.10,233,1.26,0.50,0.58,2.53,1.17,2078,70.98,102.12,84.82,87.22,42.36,43.56,218.60,19.72,1.29,0.50,0.61,2.58,1.22,1028,70.82,100.56,86.57,88.92,43.43,44.61,235.00,18.89,1.30,0.47,0.61,2.75,1.29,507,71.79,99.19,92.15,94.65,43.73,44.91,230.10,19.43,1.45,0.54,0.67,2.71,1.26,308,75.65,99.57,94.75,93.27,50.82,50.02,234.40,22.35,50500.00,19.01,64.64,229.69,10.31
2025-12-02,Scottie Barnes,PF/SF,TOR,POR,8800,33.66,28.74,43.43,4.94,,,Toronto Raptors,Portland Trail Blazers,Scottie Barnes,21,0.23,43.70,67.30,33.40,1484,10,0.23,44.50,67.60,34.50,724,5,0.23,44.70,71.00,35.90,371,3,0.25,45.00,77.70,35.80,223,1.31,0.65,0.62,2.01,0.95,2127,69.77,102.12,67.85,67.83,44.06,44.04,215.00,20.33,1.29,0.66,0.61,1.96,0.93,1005,72.04,100.56,67.64,65.96,44.53,43.42,222.40,20.01,1.25,0.63,0.60,1.98,0.96,496,74.80,99.19,70.99,66.58,44.70,41.92,219.90,20.33,1.26,0.58,0.61,2.17,1.05,299,74.58,99.57,77.62,73.06,44.96,42.31,215.30,20.90,49800.00,17.67,96.43,224.40,15.60
2025-12-02,Josh Hart,SF/PF,NY,BOS,7500,35.27,16.71,43.27,5.77,,,New York Knicks,Boston Celtics,Josh Hart,18,0.16,30.90,59.10,28.40,1068,10,0.17,38.10,69.80,32.10,674,5,0.17,42.90,72.20,35.00,351,3,0.20,50.80,77.00,36.20,219,1.09,0.52,0.52,2.08,1.00,1898,56.27,98.18,55.03,73.39,28.77,38.37,208.20,14.84,1.19,0.55,0.57,2.17,1.04,1006,67.00,98.10,68.07,76.69,37.15,41.86,219.20,17.38,1.23,0.59,0.61,2.06,1.03,485,72.37,96.60,71.90,72.75,42.72,43.23,216.10,19.85,1.40,0.66,0.70,2.13,1.05,290,75.52,96.34,76.74,75.02,50.63,49.49,217.20,23.39,44700.00,16.78,82.43,210.72,29.28
2025-12-02,De'Aaron Fox,PG,SA,MEM,8400,32.60,24.89,42.61,5.07,,,San Antonio Spurs,Memphis Grizzlies,De'Aaron Fox,11,0.28,40.20,78.10,33.40,791,10,0.28,40.90,80.20,33.70,724,5,0.29,44.60,81.80,32.70,351,3,0.31,45.30,84.30,33.00,213,1.20,0.51,0.56,2.34,1.09,1914,41.33,100.64,45.17,76.23,23.25,39.24,196.40,20.47,1.21,0.51,0.56,2.38,1.11,1006,71.97,100.16,79.85,77.58,40.72,39.57,197.30,20.73,1.36,0.55,0.64,2.50,1.17,498,70.48,98.68,81.04,81.55,44.19,44.47,218.20,20.44,1.37,0.54,0.64,2.55,1.19,299,71.24,99.44,84.11,83.28,45.20,44.75,219.50,20.64,42400.00,19.81,95.66,206.69,33.31
2025-12-02,Zach Edey,C,MEM,SA,7200,29.47,5.29,40.54,5.63,,,Memphis Grizzlies,San Antonio Spurs,Zach Edey,8,0.18,35.30,33.00,25.40,435,8,0.18,35.30,33.00,25.40,435,5,0.19,39.20,34.00,25.60,271,3,0.21,49.10,44.30,32.00,204,1.39,1.07,0.65,1.30,0.61,2143,20.30,100.64,12.40,38.29,13.26,40.96,221.70,15.92,1.39,1.07,0.65,1.30,0.61,1012,42.98,100.16,26.13,38.29,27.95,40.96,228.20,15.47,1.53,1.15,0.72,1.33,0.63,502,53.98,98.68,33.42,39.14,38.53,45.13,234.80,16.70,1.53,1.11,0.72,1.38,0.65,311,65.59,99.44,42.49,40.80,47.10,45.22,236.80,20.73,46900.00,15.35,88.13,228.28,11.72
2025-12-02,Jalen Brunson,PG,NY,BOS,8600,34.73,22.84,39.32,4.57,,,New York Knicks,Boston Celtics,Jalen Brunson,17,0.31,41.70,92.50,34.40,1218,8,0.31,42.30,91.10,35.50,588,5,0.31,41.10,87.00,35.30,354,3,0.32,38.80,84.30,35.60,214,1.21,0.45,0.58,2.69,1.29,1898,64.17,98.18,81.34,93.38,36.67,42.10,208.20,20.03,1.19,0.46,0.58,2.57,1.24,1006,58.45,98.10,71.07,89.12,33.00,41.38,219.20,19.30,1.16,0.47,0.58,2.46,1.23,485,72.99,96.60,86.64,85.59,40.93,40.43,216.10,19.02,1.09,0.46,0.54,2.37,1.18,290,73.79,96.34,84.02,82.23,38.67,37.85,217.20,17.86,44700.00,19.24,82.43,210.72,29.28
2025-12-02,Karl-Anthony Towns,C/PF,NY,BOS,9000,32.94,17.56,37.00,4.11,,,New York Knicks,Boston Celtics,Karl-Anthony Towns,19,0.26,43.00,55.70,33.40,1341,10,0.26,43.10,56.50,34.10,722,5,0.25,37.80,47.60,33.80,343,3,0.22,30.40,44.00,33.00,200,1.29,0.77,0.61,1.67,0.79,1898,70.65,98.18,54.74,54.93,42.26,42.40,208.20,20.65,1.26,0.76,0.60,1.66,0.78,1006,71.77,98.10,55.10,54.57,42.03,41.63,219.20,19.66,1.12,0.79,0.55,1.41,0.69,485,70.72,96.60,47.40,46.39,37.64,36.84,216.10,17.49,0.92,0.69,0.46,1.33,0.66,290,68.97,96.34,43.85,43.92,30.30,30.34,217.20,14.00,44700.00,20.13,82.43,210.72,29.28
