game_date,player,pos,team,opp,salary,proj_mins,ownership,fp_proj,projected_value,status,game_info,team_full_name,opp_full_name,db_player,gp_sl,usg_pct_sl,fp_sl,touches_sl,min_sl,poss_sl,gp_l10,usg_pct_l10,fp_l10,touches_l10,min_l10,poss_l10,gp_l5,usg_pct_l5,fp_l5,touches_l5,min_l5,poss_l5,gp_l3,usg_pct_l3,fp_l3,touches_l3,min_l3,poss_l3,fppm_sl,fppt_sl,fppp_sl,tpm_sl,tpp_sl,team_poss_sl,poss_pct_sl,implied_poss_sl,touches_ip_sl,touches_tpm_sl,fp_proj_it_sl,fp_proj_tpm_sl,team_fp_sl,fp_per_sl,fppm_l10,fppt_l10,fppp_l10,tpm_l10,tpp_l10,team_poss_l10,poss_pct_l10,implied_poss_l10,touches_ip_l10,touches_tpm_l10,fp_proj_it_l10,fp_proj_tpm_l10,team_fp_l10,fp_per_l10,fppm_l5,fppt_l5,fppp_l5,tpm_l5,tpp_l5,team_poss_l5,poss_pct_l5,implied_poss_l5,touches_ip_l5,touches_tpm_l5,fp_proj_it_l5,fp_proj_tpm_l5,team_fp_l5,fp_per_l5,fppm_l3,fppt_l3,fppp_l3,tpm_l3,tpp_l3,team_poss_l3,poss_pct_l3,implied_poss_l3,touches_ip_l3,touches_tpm_l3,fp_proj_it_l3,fp_proj_tpm_l3,team_fp_l3,fp_per_l3,team_salary,salary_share,team_ownership,team_minutes,minutes_avail
2025-11-08,Nikola Jokic,C,DEN,IND,12400,33.68,10.48,66.11,5.33,,,Denver Nuggets,Indiana Pacers,Nikola Jokić,8.00,0.23,63.40,96.60,34.30,583.00,8.00,0.23,63.40,96.60,34.30,583.00,5.00,0.24,65.10,96.00,33.10,351.00,3.00,0.26,71.20,100.00,33.60,222.00,1.85,0.66,0.87,2.82,1.33,821,71.01,101.69,95.72,94.85,62.82,62.25,224.00,28.30,1.85,0.66,0.87,2.82,1.33,821,71.01,101.69,95.72,94.85,62.82,62.25,224.00,28.30,1.97,0.68,0.93,2.90,1.37,506,69.37,101.80,96.57,97.68,65.49,66.24,222.40,29.27,2.12,0.71,0.96,2.98,1.35,309,71.84,102.41,99.43,100.24,70.79,71.37,234.80,30.32,47700.00,26.00,45.76,215.66,24.34
2025-11-08,Luka Doncic,PG,LAL,ATL,12800,37.64,21.34,56.11,4.38,,,Los Angeles Lakers,Atlanta Hawks,Luka Dončić,5.00,0.39,70.80,105.80,38.90,406.00,5.00,0.39,70.80,105.80,38.90,406.00,3.00,0.38,68.60,114.00,39.60,251.00,2.00,0.35,71.80,120.00,40.00,172.00,1.82,0.67,0.87,2.72,1.30,914,44.42,101.89,58.97,102.38,39.46,68.51,220.20,32.15,1.82,0.67,0.87,2.72,1.30,914,44.42,101.89,58.97,102.38,39.46,68.51,220.20,32.15,1.73,0.60,0.82,2.88,1.36,504,49.80,101.00,68.54,108.37,41.24,65.21,233.60,29.37,1.79,0.60,0.83,3.00,1.40,308,55.84,102.66,79.99,112.93,47.86,67.57,244.20,29.40,46100.00,27.77,51.48,222.25,17.75
2025-11-08,Josh Giddey,PG/SG,CHI,CLE,9600,34.20,31.71,50.89,5.30,,,Chicago Bulls,Cleveland Cavaliers,Josh Giddey,8.00,0.28,48.20,97.60,34.20,594.00,8.00,0.28,48.20,97.60,34.20,594.00,5.00,0.28,53.30,105.00,36.00,386.00,3.00,0.27,54.50,105.30,36.80,238.00,1.41,0.49,0.65,2.85,1.31,825,72.00,103.06,97.54,97.59,48.17,48.20,243.80,19.77,1.41,0.49,0.65,2.85,1.31,825,72.00,103.06,97.54,97.59,48.17,48.20,243.80,19.77,1.48,0.51,0.69,2.92,1.36,508,75.98,101.70,105.10,99.74,53.35,50.63,248.80,21.42,1.48,0.52,0.69,2.86,1.33,309,77.02,104.08,106.40,97.86,55.07,50.65,241.60,22.56,49800.00,19.28,78.70,228.45,11.55
2025-11-08,Tyrese Maxey,PG,PHI,TOR,9700,33.79,6.62,48.97,5.05,,,Philadelphia 76ers,Toronto Raptors,Tyrese Maxey,8.00,0.29,55.90,104.50,41.30,696.00,8.00,0.29,55.90,104.50,41.30,696.00,5.00,0.28,55.30,104.20,41.10,433.00,3.00,0.28,51.00,96.70,38.20,244.00,1.35,0.53,0.64,2.53,1.20,818,85.09,101.78,104.02,85.49,55.64,45.73,234.40,23.85,1.35,0.53,0.64,2.53,1.20,818,85.09,101.78,104.02,85.49,55.64,45.73,234.40,23.85,1.35,0.53,0.64,2.54,1.20,515,84.08,100.25,101.42,85.66,53.82,45.46,238.50,23.19,1.34,0.53,0.63,2.53,1.19,307,79.48,100.92,95.36,85.53,50.30,45.11,248.00,20.56,52400.00,18.51,49.47,219.53,20.47
2025-11-08,Scottie Barnes,PF/SF,TOR,PHI,8700,31.57,0.59,47.18,5.42,,,Toronto Raptors,Philadelphia 76ers,Scottie Barnes,9.00,0.24,43.70,68.30,32.60,632.00,9.00,0.24,43.70,68.30,32.60,632.00,5.00,0.25,48.10,67.40,32.50,335.00,3.00,0.24,51.70,68.30,31.60,197.00,1.34,0.64,0.62,2.10,0.97,923,68.47,101.78,67.78,66.14,43.37,42.32,208.20,20.99,1.34,0.64,0.62,2.10,0.97,923,68.47,101.78,67.78,66.14,43.37,42.32,208.20,20.99,1.48,0.71,0.72,2.07,1.01,496,67.54,100.25,68.11,65.47,48.61,46.72,210.00,22.90,1.64,0.76,0.79,2.16,1.04,297,66.33,100.92,69.62,68.24,52.70,51.65,224.30,23.05,45700.00,19.04,7.11,205.46,34.54
2025-11-08,Donovan Mitchell,SG/PG,CLE,CHI,8900,32.17,19.07,46.49,5.22,,,Cleveland Cavaliers,Chicago Bulls,Donovan Mitchell,8.00,0.30,45.00,70.80,32.80,580.00,8.00,0.30,45.00,70.80,32.80,580.00,4.00,0.29,49.00,69.00,32.10,282.00,3.00,0.31,55.70,72.30,32.20,217.00,1.37,0.64,0.62,2.16,0.98,928,62.50,103.06,62.90,69.45,39.98,44.14,257.80,17.46,1.37,0.64,0.62,2.16,0.98,928,62.50,103.06,62.90,69.45,39.98,44.14,257.80,17.46,1.53,0.71,0.70,2.15,0.98,511,55.19,101.70,54.93,69.16,39.01,49.11,270.20,18.13,1.73,0.77,0.77,2.25,1.00,317,68.45,104.08,71.21,72.24,54.86,55.66,273.10,20.40,54500.00,16.33,64.48,238.07,1.93
2025-11-08,Victor Wembanyama,C/PF,SA,NO,12500,32.82,0.75,45.49,3.64,,,San Antonio Spurs,New Orleans Pelicans,Victor Wembanyama,8.00,0.30,57.10,67.90,34.10,576.00,8.00,0.30,57.10,67.90,34.10,576.00,5.00,0.27,46.20,65.80,34.90,372.00,3.00,0.26,36.20,59.30,34.80,222.00,1.67,0.84,0.79,1.99,0.94,808,71.29,99.34,66.78,65.35,56.16,54.96,201.20,28.38,1.67,0.84,0.79,1.99,0.94,808,71.29,99.34,66.78,65.35,56.16,54.96,201.20,28.38,1.32,0.70,0.62,1.89,0.88,506,73.52,99.95,64.99,61.88,45.63,43.45,199.60,23.15,1.04,0.61,0.49,1.70,0.80,305,72.79,100.50,58.62,55.93,35.78,34.14,193.30,18.73,42300.00,29.55,13.33,189.26,50.74
2025-11-08,Devin Booker,PG/SG,PHO,LAC,9400,35.21,2.72,45.48,4.84,,,Phoenix Suns,LA Clippers,Devin Booker,9.00,0.30,44.90,75.30,36.80,708.00,9.00,0.30,44.90,75.30,36.80,708.00,5.00,0.31,48.80,75.60,37.30,393.00,3.00,0.30,47.10,74.30,37.20,228.00,1.22,0.60,0.57,2.05,0.96,923,76.71,99.41,72.99,72.05,43.52,42.96,261.90,17.14,1.22,0.60,0.57,2.05,0.96,923,76.71,99.41,72.99,72.05,43.52,42.96,261.90,17.14,1.31,0.65,0.62,2.03,0.96,505,77.82,99.05,74.14,71.36,47.86,46.07,270.50,18.04,1.27,0.63,0.62,2.00,0.98,297,76.77,99.09,74.37,70.33,47.14,44.58,226.80,20.77,48100.00,19.54,19.00,214.15,25.85
2025-11-08,Pascal Siakam,PF/C,IND,DEN,9500,33.43,22.63,43.92,4.62,,,Indiana Pacers,Denver Nuggets,Pascal Siakam,8.00,0.30,46.90,81.90,35.60,619.00,8.00,0.30,46.90,81.90,35.60,619.00,5.00,0.31,44.70,81.00,35.70,389.00,3.00,0.32,47.90,83.30,37.30,243.00,1.32,0.57,0.61,2.30,1.06,842,73.52,101.69,79.13,76.92,45.31,44.05,155.10,30.24,1.32,0.57,0.61,2.30,1.06,842,73.52,101.69,79.13,76.92,45.31,44.05,155.10,30.24,1.25,0.55,0.57,2.27,1.04,514,75.68,101.80,80.21,75.86,44.27,41.86,160.00,27.94,1.28,0.58,0.59,2.23,1.03,307,79.15,102.41,83.36,74.67,47.94,42.94,163.40,29.31,38000.00,25.00,69.16,182.42,57.58
2025-11-08,Alex Sarr,C/PF,WAS,DAL,7600,29.39,11.11,42.34,5.57,,,Washington Wizards,Dallas Mavericks,Alex Sarr,9.00,0.27,41.10,60.70,28.20,547.00,9.00,0.27,41.10,60.70,28.20,547.00,5.00,0.26,40.30,63.00,28.60,306.00,3.00,0.29,46.50,66.30,29.60,189.00,1.46,0.68,0.68,2.15,1.00,951,57.52,103.62,59.52,63.26,40.30,42.83,159.30,25.80,1.46,0.68,0.68,2.15,1.00,951,57.52,103.62,59.52,63.26,40.30,42.83,159.30,25.80,1.41,0.64,0.66,2.20,1.03,515,59.42,102.40,62.63,64.74,40.07,41.41,142.20,28.34,1.57,0.70,0.74,2.24,1.05,306,61.76,101.33,65.86,65.83,46.19,46.17,157.30,29.56,34100.00,22.29,100.30,179.10,60.90
2025-11-08,Deni Avdija,SF/PF,POR,MIA,8000,34.00,19.60,41.96,5.25,,,Portland Trail Blazers,Miami Heat,Deni Avdija,8.00,0.28,39.90,82.00,33.40,585.00,8.00,0.28,39.90,82.00,33.40,585.00,5.00,0.28,42.70,84.00,34.40,374.00,3.00,0.29,43.80,85.30,35.20,229.00,1.19,0.49,0.55,2.46,1.12,839,69.73,105.77,82.70,83.47,40.24,40.61,205.70,19.40,1.19,0.49,0.55,2.46,1.12,839,69.73,105.77,82.70,83.47,40.24,40.61,205.70,19.40,1.24,0.51,0.57,2.44,1.12,524,71.37,104.50,83.76,83.02,42.58,42.20,213.20,20.03,1.24,0.51,0.57,2.42,1.12,308,74.35,103.59,86.07,82.39,44.19,42.30,205.20,21.35,41100.00,19.46,89.90,202.39,37.61
2025-11-08,Evan Mobley,PF/C,CLE,CHI,8800,32.07,25.02,41.53,4.72,,,Cleveland Cavaliers,Chicago Bulls,Evan Mobley,9.00,0.25,43.70,74.20,33.40,649.00,9.00,0.25,43.70,74.20,33.40,649.00,5.00,0.26,42.90,74.60,33.20,356.00,3.00,0.24,39.40,69.00,32.10,214.00,1.31,0.59,0.61,2.22,1.03,928,69.94,103.06,74.16,71.24,43.68,41.96,257.80,16.95,1.31,0.59,0.61,2.22,1.03,928,69.94,103.06,74.16,71.24,43.68,41.96,257.80,16.95,1.29,0.58,0.60,2.25,1.05,511,69.67,101.70,74.24,72.06,42.69,41.44,270.20,15.88,1.23,0.57,0.55,2.15,0.97,317,67.51,104.08,67.96,68.93,38.81,39.36,273.10,14.43,54500.00,16.15,64.48,238.07,1.93
2025-11-08,Stephon Castle,SG/PG,SA,NO,7400,31.81,0.61,39.97,5.40,,,San Antonio Spurs,New Orleans Pelicans,Stephon Castle,8.00,0.26,38.40,81.80,33.20,560.00,8.00,0.26,38.40,81.80,33.20,560.00,5.00,0.24,43.80,88.00,34.70,370.00,3.00,0.22,43.50,93.70,35.90,230.00,1.16,0.47,0.55,2.46,1.17,808,69.31,99.34,80.46,78.38,37.77,36.80,201.20,19.09,1.16,0.47,0.55,2.46,1.17,808,69.31,99.34,80.46,78.38,37.77,36.80,201.20,19.09,1.26,0.50,0.59,2.54,1.19,506,73.12,99.95,86.91,80.68,43.26,40.16,199.60,21.94,1.21,0.46,0.57,2.61,1.22,305,75.41,100.50,92.62,83.03,43.00,38.55,193.30,22.50,42300.00,17.49,13.33,189.26,50.74
