game_date,player,pos,team,opp,salary,proj_mins,ownership,fp_proj,projected_value,status,game_info,team_full_name,opp_full_name,db_player,gp_sl,usg_pct_sl,fp_sl,touches_sl,min_sl,poss_sl,gp_l10,usg_pct_l10,fp_l10,touches_l10,min_l10,poss_l10,gp_l5,usg_pct_l5,fp_l5,touches_l5,min_l5,poss_l5,gp_l3,usg_pct_l3,fp_l3,touches_l3,min_l3,poss_l3,fppm_sl,fppt_sl,fppp_sl,tpm_sl,tpp_sl,team_poss_sl,poss_pct_sl,implied_poss_sl,touches_ip_sl,touches_tpm_sl,fp_proj_it_sl,fp_proj_tpm_sl,team_fp_sl,fp_per_sl,fppm_l10,fppt_l10,fppp_l10,tpm_l10,tpp_l10,team_poss_l10,poss_pct_l10,implied_poss_l10,touches_ip_l10,touches_tpm_l10,fp_proj_it_l10,fp_proj_tpm_l10,team_fp_l10,fp_per_l10,fppm_l5,fppt_l5,fppp_l5,tpm_l5,tpp_l5,team_poss_l5,poss_pct_l5,implied_poss_l5,touches_ip_l5,touches_tpm_l5,fp_proj_it_l5,fp_proj_tpm_l5,team_fp_l5,fp_per_l5,fppm_l3,fppt_l3,fppp_l3,tpm_l3,tpp_l3,team_poss_l3,poss_pct_l3,implied_poss_l3,touches_ip_l3,touches_tpm_l3,fp_proj_it_l3,fp_proj_tpm_l3,team_fp_l3,fp_per_l3,team_salary,salary_share,team_ownership,team_minutes,minutes_avail
2025-11-13,Scottie Barnes,PF/SF,TOR,CLE,8600,32.31,20.73,44.72,5.20,Confirmed,,Toronto Raptors,Cleveland Cavaliers,Scottie Barnes,11.00,0.23,43.00,67.00,32.30,760.00,10.00,0.24,42.30,66.90,32.40,681.00,5.00,0.22,46.90,65.40,31.40,325.00,3.00,0.20,40.20,63.30,32.50,204.00,1.33,0.64,0.62,2.07,0.97,1122,67.74,102.67,67.44,67.03,43.28,43.02,214.00,20.09,1.31,0.63,0.62,2.06,0.98,1009,67.49,101.99,67.62,66.72,42.76,42.19,210.30,20.11,1.49,0.72,0.72,2.08,1.01,496,65.52,101.86,67.15,67.30,48.16,48.26,231.40,20.27,1.24,0.64,0.59,1.95,0.93,300,68.00,102.19,64.69,62.94,41.08,39.97,231.50,17.37,46600.00,18.45,113.67,213.99,26.01
2025-11-13,Donovan Mitchell,SG/PG,CLE,TOR,9500,33.07,32.50,44.59,4.69,Confirmed,,Cleveland Cavaliers,Toronto Raptors,Donovan Mitchell,10.00,0.30,46.60,77.40,33.80,747.00,8.00,0.30,46.00,78.60,33.50,591.00,4.00,0.30,55.10,86.00,34.20,304.00,2.00,0.29,53.10,104.00,38.10,167.00,1.38,0.60,0.62,2.29,1.04,1251,59.71,102.67,63.52,75.72,38.24,45.59,230.00,20.26,1.37,0.59,0.62,2.35,1.06,1041,56.77,101.99,61.61,77.58,36.05,45.40,229.90,20.01,1.61,0.64,0.72,2.51,1.13,533,57.04,101.86,65.74,83.15,42.12,53.27,239.40,23.02,1.39,0.51,0.64,2.73,1.25,323,51.70,102.19,65.81,90.26,33.60,46.08,247.00,21.50,53200.00,17.86,133.41,231.03,8.97
2025-11-13,Devin Booker,PG/SG,PHO,IND,9200,35.33,36.77,40.55,4.41,,,Phoenix Suns,Indiana Pacers,Devin Booker,12.00,0.30,42.80,74.30,36.20,921.00,10.00,0.30,44.50,77.00,37.00,784.00,5.00,0.29,40.50,73.40,35.80,370.00,3.00,0.29,36.40,71.00,34.20,213.00,1.18,0.58,0.56,2.05,0.97,1218,75.62,101.33,74.18,72.52,42.73,41.78,216.90,19.73,1.20,0.58,0.57,2.08,0.98,1019,76.94,101.45,76.66,73.53,44.30,42.50,219.40,20.28,1.13,0.55,0.55,2.05,0.99,490,75.51,99.90,74.82,72.45,41.29,39.97,207.30,19.54,1.06,0.51,0.51,2.08,1.00,295,72.20,100.00,72.20,73.36,37.02,37.61,212.30,17.15,46700.00,19.70,170.17,228.99,11.01
2025-11-13,Jalen Johnson,PF/SF,ATL,UTA,8500,32.16,35.28,39.40,4.64,,,Atlanta Hawks,Utah Jazz,Jalen Johnson,10.00,0.23,41.50,75.50,31.50,690.00,8.00,0.24,43.30,75.10,31.70,548.00,4.00,0.22,39.80,71.00,31.20,265.00,2.00,0.22,47.50,66.00,29.30,124.00,1.32,0.55,0.60,2.40,1.09,1223,56.42,101.69,62.78,77.09,34.51,42.37,200.60,20.69,1.37,0.58,0.63,2.37,1.10,1009,54.31,101.44,60.40,76.19,34.83,43.93,207.40,20.88,1.28,0.56,0.60,2.28,1.07,503,52.68,100.95,57.00,73.19,31.95,41.03,212.80,18.70,1.62,0.72,0.77,2.25,1.06,301,41.20,101.84,44.66,72.45,32.14,52.14,230.50,20.61,45500.00,18.68,188.25,214.53,25.47
2025-11-13,Grayson Allen,SG/SF,PHO,IND,6300,32.73,32.24,38.41,6.10,,,Phoenix Suns,Indiana Pacers,Grayson Allen,12.00,0.20,33.70,60.40,33.70,861.00,10.00,0.21,34.50,62.30,34.10,726.00,5.00,0.22,39.10,56.40,32.60,344.00,3.00,0.26,40.50,50.30,30.50,194.00,1.00,0.56,0.47,1.79,0.84,1218,70.69,101.33,60.30,58.66,33.64,32.73,216.90,15.54,1.01,0.55,0.48,1.83,0.86,1019,71.25,101.45,62.02,59.79,34.35,33.11,219.40,15.72,1.20,0.69,0.57,1.73,0.82,490,70.20,99.90,57.49,56.62,39.86,39.25,207.30,18.86,1.33,0.81,0.63,1.65,0.78,295,65.76,100.00,51.15,53.97,41.19,43.46,212.30,19.08,46700.00,13.49,170.17,228.99,11.01
2025-11-13,Lauri Markkanen,PF/SF,UTA,ATL,7900,34.75,25.30,37.74,4.78,,,Utah Jazz,Atlanta Hawks,Lauri Markkanen,11.00,0.27,41.20,56.50,35.20,824.00,10.00,0.28,42.00,57.40,35.40,757.00,5.00,0.25,34.30,51.20,33.40,354.00,3.00,0.24,36.00,46.00,30.20,193.00,1.17,0.73,0.55,1.61,0.75,1129,72.98,101.69,55.98,55.78,40.82,40.68,176.90,23.29,1.19,0.73,0.55,1.62,0.76,1034,73.21,101.44,56.31,56.35,41.20,41.23,178.20,23.57,1.03,0.67,0.48,1.53,0.72,508,69.69,100.95,50.87,53.27,34.08,35.69,182.10,18.84,1.19,0.78,0.56,1.52,0.72,310,62.26,101.84,45.34,52.93,35.48,41.43,181.80,19.80,38500.00,20.52,132.68,191.26,48.74
2025-11-13,Evan Mobley,PF/C,CLE,TOR,8800,32.97,33.55,37.12,4.22,Confirmed,,Cleveland Cavaliers,Toronto Raptors,Evan Mobley,11.00,0.24,43.40,75.90,33.90,799.00,9.00,0.24,44.40,75.10,33.60,641.00,4.00,0.23,40.70,73.80,33.60,286.00,2.00,0.20,42.30,83.50,36.20,150.00,1.28,0.57,0.60,2.24,1.04,1251,63.87,102.67,68.52,73.82,39.18,42.21,230.00,18.87,1.32,0.59,0.62,2.24,1.05,1041,61.58,101.99,66.22,73.69,39.15,43.57,229.90,19.31,1.21,0.55,0.57,2.20,1.03,533,53.66,101.86,56.41,72.42,31.11,39.94,239.40,17.00,1.17,0.51,0.56,2.31,1.11,323,46.44,102.19,52.84,76.05,26.77,38.53,247.00,17.13,53200.00,16.54,133.41,231.03,8.97
2025-11-13,Brandon Ingram,SF/PF,TOR,CLE,7300,32.00,22.59,36.97,5.06,Confirmed,,Toronto Raptors,Cleveland Cavaliers,Brandon Ingram,11.00,0.25,36.70,53.20,33.20,773.00,10.00,0.25,37.10,53.80,33.90,706.00,5.00,0.25,37.90,54.40,33.70,346.00,3.00,0.26,39.10,53.00,35.00,218.00,1.11,0.69,0.52,1.60,0.76,1122,68.89,102.67,53.55,51.28,36.94,35.37,214.00,17.15,1.09,0.69,0.53,1.59,0.76,1009,69.97,101.99,54.38,50.78,37.50,35.02,210.30,17.64,1.12,0.70,0.55,1.61,0.79,496,69.76,101.86,55.86,51.66,38.92,35.99,231.40,16.38,1.12,0.74,0.54,1.51,0.73,300,72.67,102.19,54.16,48.46,39.96,35.75,231.50,16.89,46600.00,15.67,113.67,213.99,26.01
2025-11-13,Pascal Siakam,PF/C,IND,PHO,9400,34.98,23.29,36.54,3.89,,,Indiana Pacers,Phoenix Suns,Pascal Siakam,10.00,0.29,44.20,80.10,35.30,763.00,9.00,0.29,42.70,77.80,34.40,668.00,4.00,0.29,41.70,78.80,35.60,308.00,2.00,0.24,33.40,73.00,34.10,144.00,1.25,0.55,0.58,2.27,1.05,1149,66.41,101.33,70.64,79.37,38.98,43.80,200.10,22.09,1.24,0.55,0.58,2.26,1.05,1024,65.23,101.45,69.37,79.11,38.07,43.42,206.60,20.67,1.17,0.53,0.54,2.21,1.02,512,60.16,99.90,61.50,77.43,32.55,40.97,215.00,19.40,0.98,0.46,0.46,2.14,1.01,307,46.91,100.00,47.56,74.88,21.76,34.26,202.70,16.48,47400.00,19.83,93.98,215.61,24.39
2025-11-13,Jarrett Allen,C/PF,CLE,TOR,7000,26.88,20.00,35.66,5.09,Confirmed,,Cleveland Cavaliers,Toronto Raptors,Jarrett Allen,10.00,0.21,33.90,37.60,26.30,586.00,8.00,0.23,35.10,39.40,25.60,455.00,5.00,0.24,39.00,43.60,25.70,290.00,3.00,0.26,31.30,44.30,24.30,167.00,1.29,0.90,0.58,1.43,0.64,1251,46.84,102.67,30.86,38.42,27.82,34.64,230.00,14.74,1.37,0.89,0.62,1.54,0.69,1041,43.71,101.99,30.88,41.36,27.51,36.85,229.90,15.27,1.52,0.89,0.67,1.70,0.75,533,54.41,101.86,41.66,45.59,37.27,40.78,239.40,16.29,1.29,0.71,0.56,1.82,0.80,323,51.70,102.19,42.05,49.00,29.71,34.62,247.00,12.67,53200.00,13.16,133.41,231.03,8.97
