game_date,player,pos,team,opp,salary,proj_mins,ownership,fp_proj,projected_value,status,game_info,team_full_name,opp_full_name,db_player,gp_sl,usg_pct_sl,fp_sl,touches_sl,min_sl,poss_sl,gp_l10,usg_pct_l10,fp_l10,touches_l10,min_l10,poss_l10,gp_l5,usg_pct_l5,fp_l5,touches_l5,min_l5,poss_l5,gp_l3,usg_pct_l3,fp_l3,touches_l3,min_l3,poss_l3,fppm_sl,fppt_sl,fppp_sl,tpm_sl,tpp_sl,team_poss_sl,poss_pct_sl,implied_poss_sl,touches_ip_sl,touches_tpm_sl,fp_proj_it_sl,fp_proj_tpm_sl,team_fp_sl,fp_per_sl,fppm_l10,fppt_l10,fppp_l10,tpm_l10,tpp_l10,team_poss_l10,poss_pct_l10,implied_poss_l10,touches_ip_l10,touches_tpm_l10,fp_proj_it_l10,fp_proj_tpm_l10,team_fp_l10,fp_per_l10,fppm_l5,fppt_l5,fppp_l5,tpm_l5,tpp_l5,team_poss_l5,poss_pct_l5,implied_poss_l5,touches_ip_l5,touches_tpm_l5,fp_proj_it_l5,fp_proj_tpm_l5,team_fp_l5,fp_per_l5,fppm_l3,fppt_l3,fppp_l3,tpm_l3,tpp_l3,team_poss_l3,poss_pct_l3,implied_poss_l3,touches_ip_l3,touches_tpm_l3,fp_proj_it_l3,fp_proj_tpm_l3,team_fp_l3,fp_per_l3,team_salary,salary_share,team_ownership,team_minutes,minutes_avail
2025-11-26,Shai Gilgeous-Alexander,PG,OKC,MIN,11100,31.91,4.41,52.76,4.75,Q,,Oklahoma City Thunder,Minnesota Timberwolves,Shai Gilgeous-Alexander,18,0.33,53.20,68.00,33.00,1243,10.00,0.32,52.60,62.50,31.40,669.00,5.00,0.31,51.50,59.80,30.80,322.00,3.00,0.33,52.70,67.30,31.90,199.00,1.61,0.78,0.77,2.06,0.98,1845,67.37,100.88,66.93,65.75,52.36,51.44,249.10,21.36,1.68,0.84,0.79,1.99,0.93,1017,65.78,102.17,62.79,63.51,52.84,53.45,241.60,21.77,1.67,0.86,0.80,1.94,0.93,501,64.27,101.19,60.39,61.95,52.01,53.36,232.40,22.16,1.65,0.78,0.79,2.11,1.01,305,65.25,100.84,66.75,67.32,52.27,52.72,235.10,22.42,51300.00,21.64,29.50,227.60,12.40
2025-11-26,Karl-Anthony Towns,C/PF,NY,CHA,9600,33.49,11.83,47.63,4.96,,,New York Knicks,Charlotte Hornets,Karl-Anthony Towns,16,0.26,45.40,57.90,33.40,1141,10.00,0.28,48.40,59.30,33.20,711.00,5.00,0.29,49.60,60.20,35.10,373.00,3.00,0.28,48.30,57.70,35.00,218.00,1.36,0.78,0.64,1.73,0.81,1608,70.96,100.50,57.90,58.06,45.40,45.52,212.20,21.39,1.46,0.82,0.68,1.79,0.83,1010,70.40,99.71,58.54,59.82,47.78,48.82,220.90,21.91,1.41,0.82,0.66,1.72,0.81,505,73.86,99.40,59.25,57.44,48.81,47.33,247.10,20.07,1.38,0.84,0.66,1.65,0.79,298,73.15,97.92,56.88,55.21,47.61,46.22,229.50,21.05,49900.00,19.24,53.92,218.39,21.61
2025-11-26,Anthony Edwards,SG/SF,MIN,OKC,10100,34.77,0.20,46.52,4.61,,,Minnesota Timberwolves,Oklahoma City Thunder,Anthony Edwards,13,0.31,42.90,70.60,32.30,900,10.00,0.31,45.70,76.50,34.30,738.00,5.00,0.30,48.70,79.80,36.90,396.00,3.00,0.31,53.60,83.70,39.00,247.00,1.33,0.61,0.62,2.19,1.02,1738,51.78,100.88,53.27,76.01,32.37,46.19,217.00,19.77,1.33,0.60,0.62,2.23,1.04,1039,71.03,102.17,75.23,77.56,44.94,46.33,217.20,21.04,1.32,0.61,0.61,2.16,1.01,523,75.72,101.19,77.20,75.20,47.11,45.89,218.30,22.31,1.37,0.64,0.65,2.15,1.02,312,79.17,100.84,81.16,74.63,51.97,47.79,221.00,24.25,46900.00,21.54,9.22,205.22,34.78
2025-11-26,Jaylen Brown,SF/SG,BOS,DET,8800,32.75,11.73,44.86,5.10,,,Boston Celtics,Detroit Pistons,Jaylen Brown,17,0.34,41.20,63.90,32.40,1126,10.00,0.36,44.50,66.30,33.40,689.00,5.00,0.35,45.50,64.00,33.00,340.00,3.00,0.36,44.40,64.70,33.70,209.00,1.27,0.64,0.62,1.97,0.96,1640,68.66,98.94,65.54,64.59,42.25,41.64,192.40,21.41,1.33,0.67,0.65,1.99,0.96,962,71.62,98.87,68.14,65.01,45.74,43.63,199.70,22.28,1.38,0.71,0.67,1.94,0.94,479,70.98,98.35,65.70,63.51,46.71,45.16,202.00,22.52,1.32,0.69,0.64,1.92,0.93,289,72.32,98.50,66.16,62.88,45.40,43.15,195.50,22.71,43600.00,20.18,35.35,202.42,37.58
2025-11-26,Cade Cunningham,PG,DET,BOS,10600,34.90,12.75,44.81,4.23,,,Detroit Pistons,Boston Celtics,Cade Cunningham,14,0.31,51.20,97.20,36.40,1079,7.00,0.34,55.60,96.40,36.70,544.00,3.00,0.32,49.70,93.70,34.10,220.00,3.00,0.32,49.70,93.70,34.10,220.00,1.41,0.53,0.66,2.67,1.26,1734,62.23,98.94,77.65,93.20,40.90,49.10,230.60,22.20,1.51,0.58,0.72,2.63,1.24,1025,53.07,98.87,65.09,91.68,37.54,52.88,238.40,23.32,1.46,0.53,0.68,2.75,1.28,505,43.56,98.35,54.74,95.91,29.04,50.87,223.40,22.25,1.46,0.53,0.68,2.75,1.28,303,72.61,98.50,91.38,95.91,48.47,50.87,212.00,23.44,50000.00,21.20,33.10,202.65,37.35
2025-11-26,Alperen Sengun,C/PF,HOU,GS,9700,35.79,15.79,44.25,4.56,,,Houston Rockets,Golden State Warriors,Alperen Sengun,15,0.26,47.40,78.50,36.70,1132,10.00,0.26,46.60,79.20,36.80,762.00,5.00,0.25,47.40,72.80,38.00,383.00,3.00,0.24,37.10,67.30,36.30,219.00,1.29,0.60,0.63,2.14,1.04,1497,75.62,99.85,78.54,76.55,47.42,46.22,183.30,25.86,1.27,0.59,0.61,2.15,1.04,992,76.81,100.31,80.09,77.03,47.12,45.32,187.00,24.92,1.25,0.65,0.62,1.92,0.95,490,78.16,100.10,74.36,68.57,48.42,44.64,194.80,24.33,1.02,0.55,0.51,1.85,0.92,284,77.11,99.75,70.91,66.35,39.09,36.58,198.20,18.72,44800.00,21.65,88.86,223.53,16.47
2025-11-26,Scottie Barnes,PF/SF,TOR,IND,8700,32.91,19.01,41.18,4.73,,,Toronto Raptors,Indiana Pacers,Scottie Barnes,18,0.23,43.50,65.60,33.00,1261,10.00,0.22,43.10,63.30,33.50,705.00,5.00,0.22,40.40,61.00,34.20,362.00,3.00,0.21,42.50,57.00,34.00,214.00,1.32,0.66,0.62,1.99,0.94,1828,68.98,101.86,65.80,65.42,43.63,43.38,214.80,20.25,1.29,0.68,0.61,1.89,0.90,1006,70.08,101.28,63.73,62.19,43.39,42.34,226.40,19.04,1.18,0.66,0.56,1.78,0.84,502,72.11,101.66,61.77,58.70,40.91,38.88,220.50,18.32,1.25,0.75,0.60,1.68,0.80,302,70.86,100.84,57.10,55.17,42.57,41.14,229.80,18.49,50400.00,17.26,55.76,224.40,15.60
2025-11-26,Pascal Siakam,PF/C,IND,TOR,9100,34.18,3.80,41.09,4.52,,,Indiana Pacers,Toronto Raptors,Pascal Siakam,16,0.28,42.90,75.60,35.10,1209,9.00,0.26,39.10,70.70,34.80,670.00,5.00,0.26,43.70,70.60,35.50,380.00,3.00,0.24,43.70,71.30,36.00,230.00,1.22,0.57,0.57,2.15,1.00,1761,68.65,101.86,69.97,73.61,39.70,41.77,215.80,19.88,1.12,0.55,0.53,2.03,0.95,1020,65.69,101.28,63.18,69.44,34.94,38.40,214.50,18.23,1.23,0.62,0.58,1.99,0.93,514,73.93,101.66,69.82,67.97,43.22,42.07,217.90,20.06,1.21,0.61,0.57,1.98,0.93,303,75.91,100.84,71.19,67.69,43.63,41.49,230.20,18.98,48900.00,18.61,16.02,221.90,18.10
2025-11-26,De'Aaron Fox,PG,SA,POR,8600,32.99,16.22,40.96,4.76,,,San Antonio Spurs,Portland Trail Blazers,De'Aaron Fox,8,0.27,38.30,75.80,33.60,578,8.00,0.27,38.30,75.80,33.60,578.00,5.00,0.30,45.10,77.80,33.10,348.00,3.00,0.29,41.90,75.00,32.60,206.00,1.14,0.51,0.53,2.26,1.05,1615,35.79,101.68,38.18,74.43,19.29,37.61,204.00,18.77,1.14,0.51,0.53,2.26,1.05,1009,57.28,101.30,60.88,74.43,30.76,37.61,206.60,18.54,1.36,0.58,0.65,2.35,1.12,497,70.02,100.55,78.70,77.55,45.62,44.95,200.90,22.45,1.29,0.56,0.61,2.30,1.09,296,69.59,99.00,75.25,75.91,42.04,42.41,204.00,20.54,46700.00,18.42,91.43,232.09,7.91
2025-11-26,Giannis Antetokounmpo,PF,MIL,MIA,11500,30.99,18.68,39.61,3.44,Q,,Milwaukee Bucks,Miami Heat,Giannis Antetokounmpo,13,0.35,57.10,80.20,31.80,882,6.00,0.37,54.00,85.30,32.50,416.00,2.00,0.40,37.30,63.50,22.30,93.00,2.00,0.40,37.30,63.50,22.30,93.00,1.80,0.71,0.84,2.52,1.18,1835,48.07,103.47,58.79,78.16,41.86,55.65,230.40,24.78,1.66,0.63,0.78,2.62,1.23,1017,40.90,102.78,51.72,81.34,32.74,51.49,231.90,23.29,1.67,0.59,0.80,2.85,1.37,508,18.31,102.41,25.60,88.25,15.04,51.84,210.50,17.72,1.67,0.59,0.80,2.85,1.37,308,30.19,102.28,42.17,88.25,24.77,51.84,230.70,16.17,53600.00,21.46,25.39,227.25,12.75
