game_date,player,pos,team,opp,salary,proj_mins,ownership,fp_proj,projected_value,status,game_info,team_full_name,opp_full_name,db_player,gp_sl,usg_pct_sl,fp_sl,touches_sl,min_sl,poss_sl,gp_l10,usg_pct_l10,fp_l10,touches_l10,min_l10,poss_l10,gp_l5,usg_pct_l5,fp_l5,touches_l5,min_l5,poss_l5,gp_l3,usg_pct_l3,fp_l3,touches_l3,min_l3,poss_l3,fppm_sl,fppt_sl,fppp_sl,tpm_sl,tpp_sl,team_poss_sl,poss_pct_sl,implied_poss_sl,touches_ip_sl,touches_tpm_sl,fp_proj_it_sl,fp_proj_tpm_sl,team_fp_sl,fp_per_sl,fppm_l10,fppt_l10,fppp_l10,tpm_l10,tpp_l10,team_poss_l10,poss_pct_l10,implied_poss_l10,touches_ip_l10,touches_tpm_l10,fp_proj_it_l10,fp_proj_tpm_l10,team_fp_l10,fp_per_l10,fppm_l5,fppt_l5,fppp_l5,tpm_l5,tpp_l5,team_poss_l5,poss_pct_l5,implied_poss_l5,touches_ip_l5,touches_tpm_l5,fp_proj_it_l5,fp_proj_tpm_l5,team_fp_l5,fp_per_l5,fppm_l3,fppt_l3,fppp_l3,tpm_l3,tpp_l3,team_poss_l3,poss_pct_l3,implied_poss_l3,touches_ip_l3,touches_tpm_l3,fp_proj_it_l3,fp_proj_tpm_l3,team_fp_l3,fp_per_l3,team_salary,salary_share,team_ownership,team_minutes,minutes_avail
2025-11-16,Jalen Johnson,PF/SF,ATL,PHO,9100,33.33,15.50,50.89,5.59,,,Atlanta Hawks,Phoenix Suns,Jalen Johnson,11.00,0.24,45.80,78.90,32.30,783.00,9.00,0.25,48.30,79.30,32.70,641.00,4.00,0.25,54.00,81.30,33.10,287.00,3.00,0.25,61.20,81.70,33.10,217.00,1.42,0.58,0.64,2.44,1.11,1331,58.83,101.27,66.03,81.42,38.33,47.26,224.50,20.40,1.48,0.61,0.68,2.43,1.11,1021,62.78,100.96,70.57,80.83,42.98,49.23,234.20,20.62,1.63,0.66,0.75,2.46,1.13,510,56.27,99.65,63.54,81.86,42.20,54.37,250.00,21.60,1.85,0.75,0.85,2.47,1.13,311,69.77,101.92,80.32,82.27,60.17,61.62,245.90,24.89,48400.00,18.80,28.37,208.31,31.69
2025-11-16,Alperen Sengun,C,HOU,ORL,9500,34.70,6.49,48.90,5.15,,,Houston Rockets,Orlando Magic,Alperen Sengun,11.00,0.25,49.30,80.40,36.10,826.00,10.00,0.24,47.40,78.70,34.80,728.00,5.00,0.23,49.90,79.00,34.90,371.00,3.00,0.20,49.60,74.70,34.60,216.00,1.37,0.61,0.66,2.23,1.07,1108,74.55,99.81,79.67,77.28,48.85,47.39,217.40,22.68,1.36,0.60,0.65,2.26,1.08,993,73.31,99.20,78.62,78.47,47.35,47.26,217.50,21.79,1.43,0.63,0.67,2.26,1.06,500,74.20,98.80,78.05,78.54,49.30,49.61,224.00,22.28,1.43,0.66,0.69,2.16,1.04,296,72.97,98.08,74.26,74.91,49.31,49.74,234.10,21.19,44400.00,21.40,32.27,206.06,33.94
2025-11-16,Devin Booker,PG/SG,PHO,ATL,9300,35.08,11.53,42.79,4.60,,,Phoenix Suns,Atlanta Hawks,Devin Booker,13.00,0.30,43.20,73.00,35.60,982.00,10.00,0.31,45.80,74.70,36.20,763.00,5.00,0.30,41.10,69.60,33.80,347.00,3.00,0.32,38.70,65.00,31.40,200.00,1.21,0.59,0.57,2.05,0.97,1316,74.62,101.27,73.03,71.94,43.22,42.57,192.20,22.48,1.27,0.61,0.60,2.06,0.98,1012,75.40,100.96,74.52,72.39,45.69,44.39,200.00,22.90,1.22,0.59,0.59,2.06,1.00,488,71.11,99.65,71.06,72.24,41.96,42.66,175.80,23.38,1.23,0.60,0.58,2.07,0.97,303,66.01,101.92,65.59,72.62,39.05,43.24,171.00,22.63,38700.00,24.03,60.30,195.49,44.51
2025-11-16,Alex Sarr,C/PF,WAS,BKN,8100,30.95,24.02,42.64,5.26,,,Washington Wizards,Brooklyn Nets,Alex Sarr,12.00,0.26,41.80,63.60,29.50,764.00,10.00,0.27,43.50,67.00,30.20,651.00,5.00,0.27,45.10,71.00,31.90,341.00,3.00,0.24,44.00,72.30,33.30,217.00,1.42,0.66,0.66,2.16,1.00,1270,60.16,101.02,60.71,66.73,39.90,43.86,211.20,19.79,1.44,0.65,0.67,2.22,1.03,1054,61.76,99.92,63.52,68.67,41.24,44.59,203.60,21.37,1.41,0.64,0.66,2.23,1.04,523,65.20,99.48,67.52,68.89,42.89,43.76,189.80,23.76,1.32,0.61,0.61,2.17,1.00,319,68.03,98.56,67.01,67.21,40.78,40.90,207.80,21.17,45300.00,17.88,63.56,221.30,18.70
2025-11-16,Stephon Castle,SG/PG,SA,SAC,7900,33.04,15.97,42.58,5.39,,,San Antonio Spurs,Sacramento Kings,Stephon Castle,12.00,0.25,40.10,81.30,33.30,846.00,10.00,0.23,41.20,82.30,33.80,718.00,5.00,0.22,43.70,85.00,34.20,365.00,3.00,0.22,44.10,80.30,33.10,215.00,1.20,0.49,0.57,2.44,1.15,1216,69.57,101.64,81.55,80.66,40.22,39.79,193.40,20.73,1.22,0.50,0.57,2.43,1.15,1009,71.16,102.00,83.20,80.45,41.65,40.27,190.60,21.62,1.28,0.51,0.60,2.49,1.16,509,71.71,102.85,85.88,82.11,44.15,42.22,191.40,22.83,1.33,0.55,0.62,2.43,1.12,308,69.81,103.00,80.56,80.15,44.24,44.02,171.10,25.77,41000.00,19.27,94.21,218.79,21.21
2025-11-16,Deni Avdija,SF/PF,POR,DAL,8400,33.48,17.47,42.37,5.04,,,Portland Trail Blazers,Dallas Mavericks,Deni Avdija,12.00,0.28,40.90,81.20,33.70,884.00,10.00,0.28,42.20,80.90,34.20,743.00,5.00,0.28,45.90,83.60,34.80,384.00,3.00,0.29,37.90,69.70,33.40,211.00,1.21,0.50,0.56,2.41,1.10,1246,70.95,103.64,81.05,80.68,40.82,40.64,214.60,19.06,1.23,0.52,0.57,2.37,1.09,1033,71.93,102.86,80.56,79.21,42.02,41.32,214.90,19.64,1.32,0.55,0.60,2.40,1.09,515,74.56,103.10,83.68,80.44,45.94,44.16,212.50,21.60,1.13,0.54,0.54,2.09,0.99,294,71.77,101.06,71.88,69.88,39.08,38.00,197.80,19.16,45000.00,18.67,78.02,221.11,18.89
2025-11-16,Franz Wagner,SF/PF,ORL,HOU,8300,34.84,17.36,41.87,5.04,,,Orlando Magic,Houston Rockets,Franz Wagner,13.00,0.24,38.70,60.80,35.30,982.00,10.00,0.25,39.50,60.30,35.40,736.00,5.00,0.26,43.80,64.60,37.00,381.00,3.00,0.25,45.40,66.00,36.80,228.00,1.10,0.64,0.51,1.72,0.80,1311,74.90,99.81,60.18,60.01,38.30,38.19,165.70,23.36,1.12,0.66,0.54,1.70,0.82,989,74.42,99.20,60.48,59.34,39.62,38.87,166.80,23.68,1.18,0.68,0.57,1.75,0.85,487,78.23,98.80,65.53,60.83,44.43,41.24,173.60,25.23,1.23,0.69,0.60,1.79,0.87,293,77.82,98.08,66.28,62.48,45.59,42.98,182.20,24.92,40400.00,20.54,64.31,211.43,28.57
2025-11-16,Lauri Markkanen,PF/SF,UTA,CHI,8000,35.15,15.06,41.62,5.20,,,Utah Jazz,Chicago Bulls,Lauri Markkanen,12.00,0.27,42.00,56.70,35.30,909.00,10.00,0.28,43.20,57.70,35.40,765.00,5.00,0.26,38.50,52.00,33.30,364.00,3.00,0.25,44.00,54.00,35.10,232.00,1.19,0.74,0.55,1.61,0.75,1237,73.48,102.76,56.52,56.46,41.87,41.83,194.20,21.63,1.22,0.75,0.56,1.63,0.75,1043,73.35,103.21,57.10,57.30,42.75,42.90,198.60,21.75,1.16,0.74,0.53,1.56,0.71,519,70.13,103.95,52.08,54.89,38.56,40.64,204.30,18.84,1.25,0.81,0.57,1.54,0.70,312,74.36,104.17,54.09,54.08,44.07,44.07,225.70,19.49,42900.00,18.65,51.39,206.16,33.84
2025-11-16,Stephen Curry,PG,GS,NO,8700,32.28,17.98,41.07,4.72,,,Golden State Warriors,New Orleans Pelicans,Stephen Curry,11.00,0.33,42.40,63.20,30.80,736.00,7.00,0.35,40.10,62.00,30.40,457.00,3.00,0.37,46.20,62.00,29.90,195.00,3.00,0.37,46.20,62.00,29.90,195.00,1.38,0.67,0.63,2.05,0.94,1424,51.69,100.31,48.97,66.25,32.85,44.44,203.60,20.83,1.32,0.65,0.61,2.04,0.95,1002,45.61,99.65,43.16,65.84,27.92,42.59,200.20,20.03,1.55,0.75,0.71,2.07,0.95,503,38.77,100.00,36.98,66.95,27.55,49.89,205.40,22.49,1.55,0.75,0.71,2.07,0.95,306,63.73,100.66,61.19,66.95,45.59,49.89,205.10,22.53,46900.00,18.55,57.93,223.11,16.89
2025-11-16,Jaylen Brown,SF/SG,BOS,LAC,8500,33.15,12.93,40.39,4.75,Confirmed,,Boston Celtics,LA Clippers,Jaylen Brown,13.00,0.34,38.90,62.50,31.60,838.00,10.00,0.34,38.90,59.90,30.40,620.00,5.00,0.34,40.60,62.40,31.30,325.00,3.00,0.32,35.50,59.70,31.40,190.00,1.23,0.62,0.60,1.98,0.97,1257,66.67,96.85,62.60,65.56,38.96,40.81,217.00,17.93,1.28,0.65,0.63,1.97,0.97,964,64.32,96.84,60.17,65.32,39.08,42.42,222.20,17.51,1.30,0.65,0.62,1.99,0.96,483,67.29,96.40,62.27,66.09,40.52,43.00,231.10,17.57,1.13,0.59,0.56,1.90,0.94,286,66.43,96.68,60.54,63.02,36.00,37.48,220.40,16.11,47400.00,17.93,31.30,223.20,16.80
