game_date,player,pos,team,opp,salary,proj_mins,ownership,fp_proj,projected_value,status,game_info,team_full_name,opp_full_name,db_player,gp_sl,usg_pct_sl,fp_sl,touches_sl,min_sl,poss_sl,gp_l10,usg_pct_l10,fp_l10,touches_l10,min_l10,poss_l10,gp_l5,usg_pct_l5,fp_l5,touches_l5,min_l5,poss_l5,gp_l3,usg_pct_l3,fp_l3,touches_l3,min_l3,poss_l3,fppm_sl,fppt_sl,fppp_sl,tpm_sl,tpp_sl,team_poss_sl,poss_pct_sl,implied_poss_sl,touches_ip_sl,touches_tpm_sl,fp_proj_it_sl,fp_proj_tpm_sl,team_fp_sl,fp_per_sl,fppm_l10,fppt_l10,fppp_l10,tpm_l10,tpp_l10,team_poss_l10,poss_pct_l10,implied_poss_l10,touches_ip_l10,touches_tpm_l10,fp_proj_it_l10,fp_proj_tpm_l10,team_fp_l10,fp_per_l10,fppm_l5,fppt_l5,fppp_l5,tpm_l5,tpp_l5,team_poss_l5,poss_pct_l5,implied_poss_l5,touches_ip_l5,touches_tpm_l5,fp_proj_it_l5,fp_proj_tpm_l5,team_fp_l5,fp_per_l5,fppm_l3,fppt_l3,fppp_l3,tpm_l3,tpp_l3,team_poss_l3,poss_pct_l3,implied_poss_l3,touches_ip_l3,touches_tpm_l3,fp_proj_it_l3,fp_proj_tpm_l3,team_fp_l3,fp_per_l3,team_salary,salary_share,team_ownership,team_minutes,minutes_avail
2025-11-15,Nikola Jokic,C,DEN,MIN,12700,34.28,12.57,71.09,5.60,Q,,Denver Nuggets,Minnesota Timberwolves,Nikola Jokić,11.00,0.26,65.50,97.30,33.90,791.00,10.00,0.26,66.50,97.20,33.20,709.00,5.00,0.30,69.40,98.20,32.60,350.00,3.00,0.34,71.20,99.00,32.70,208.00,1.93,0.67,0.91,2.87,1.35,1117,70.81,100.84,96.62,98.39,65.04,66.23,196.70,33.30,2.00,0.68,0.94,2.93,1.37,1011,70.13,101.30,97.39,100.36,66.63,68.66,194.30,34.23,2.13,0.71,0.99,3.01,1.40,498,70.28,101.50,100.07,103.26,70.72,72.98,206.10,33.67,2.18,0.72,1.03,3.03,1.43,296,70.27,101.67,102.01,103.78,73.37,74.64,207.10,34.38,45200.00,28.10,87.77,215.01,24.99
2025-11-15,Luka Doncic,PG,LAL,MIL,12500,36.88,16.81,53.28,4.26,,,Los Angeles Lakers,Milwaukee Bucks,Luka Dončić,9.00,0.36,61.10,95.00,37.00,698.00,7.00,0.35,57.30,95.40,36.70,543.00,5.00,0.33,55.60,88.20,35.90,381.00,3.00,0.31,51.00,82.70,37.20,234.00,1.65,0.64,0.79,2.57,1.22,1314,53.12,101.17,65.83,94.70,42.34,60.90,227.30,26.88,1.56,0.60,0.74,2.60,1.23,1012,53.66,100.70,66.45,95.87,39.91,57.58,227.50,25.19,1.55,0.63,0.73,2.46,1.16,500,76.20,100.01,88.21,90.61,55.61,57.12,202.90,27.40,1.37,0.62,0.65,2.22,1.06,301,77.74,99.78,82.24,81.99,50.72,50.56,189.40,26.93,49100.00,25.46,60.45,221.88,18.12
2025-11-15,Shai Gilgeous-Alexander,PG,OKC,CHA,11300,29.51,9.43,51.37,4.55,,,Oklahoma City Thunder,Charlotte Hornets,Shai Gilgeous-Alexander,13.00,0.33,53.90,71.20,33.90,921.00,10.00,0.32,51.60,66.30,32.00,679.00,5.00,0.33,53.60,65.20,32.00,347.00,3.00,0.32,57.50,65.30,31.10,199.00,1.59,0.76,0.76,2.10,1.00,1344,68.53,100.92,69.50,61.98,52.62,46.92,245.40,21.96,1.61,0.78,0.76,2.07,0.98,1015,66.90,101.12,66.05,61.14,51.41,47.59,240.00,21.50,1.68,0.82,0.77,2.04,0.94,516,67.25,101.02,63.82,60.13,52.47,49.43,241.20,22.22,1.85,0.88,0.87,2.10,0.98,303,65.68,98.66,63.79,61.96,56.17,54.56,223.50,25.73,50900.00,22.20,85.24,214.70,25.30
2025-11-15,Giannis Antetokounmpo,PF,MIL,LAL,12300,33.48,16.51,51.19,4.16,P,,Milwaukee Bucks,Los Angeles Lakers,Giannis Antetokounmpo,11.00,0.35,60.70,83.20,33.60,789.00,8.00,0.35,58.10,84.30,33.90,575.00,4.00,0.36,62.40,96.30,37.70,323.00,2.00,0.30,59.00,102.50,38.90,166.00,1.81,0.73,0.85,2.48,1.16,1327,59.46,101.17,69.77,82.89,50.91,60.48,227.00,26.74,1.71,0.69,0.81,2.49,1.17,1013,56.76,100.70,67.04,83.25,46.20,57.37,223.70,25.97,1.66,0.65,0.77,2.55,1.19,509,63.46,100.01,75.69,85.51,49.04,55.41,235.70,26.47,1.52,0.58,0.71,2.63,1.23,306,54.25,99.78,66.85,88.21,38.48,50.77,230.70,25.57,50100.00,24.55,48.35,213.84,26.16
2025-11-15,Scottie Barnes,PF/SF,TOR,IND,8700,32.73,21.36,48.36,5.56,,,Toronto Raptors,Indiana Pacers,Scottie Barnes,12.00,0.24,45.10,68.10,32.50,831.00,10.00,0.24,45.70,68.40,32.30,673.00,5.00,0.23,48.30,66.20,31.90,332.00,3.00,0.23,49.20,67.30,32.30,199.00,1.39,0.66,0.65,2.10,0.98,1219,68.17,101.70,68.18,68.59,45.15,45.42,235.30,19.17,1.41,0.67,0.68,2.12,1.02,1001,67.23,100.95,68.98,69.32,46.09,46.31,233.70,19.55,1.51,0.73,0.73,2.08,1.00,497,66.80,100.20,66.73,67.93,48.69,49.56,251.30,19.22,1.52,0.73,0.74,2.08,1.01,296,67.23,99.41,67.81,68.20,49.57,49.86,260.90,18.86,50700.00,17.16,102.18,223.27,16.73
2025-11-15,Julius Randle,PF,MIN,DEN,9100,32.43,5.31,45.45,4.99,,,Minnesota Timberwolves,Denver Nuggets,Julius Randle,12.00,0.27,45.40,65.90,33.20,849.00,10.00,0.28,45.60,66.30,33.20,710.00,5.00,0.28,45.00,63.00,31.40,345.00,3.00,0.27,45.30,60.00,31.00,207.00,1.37,0.69,0.64,1.98,0.93,1215,69.88,100.84,65.63,64.37,45.22,44.34,226.80,20.02,1.37,0.69,0.64,2.00,0.93,1016,69.88,101.30,66.10,64.76,45.47,44.54,232.00,19.66,1.43,0.71,0.65,2.01,0.91,516,66.86,101.50,61.96,65.06,44.26,46.47,226.90,19.83,1.46,0.76,0.66,1.94,0.87,313,66.13,101.67,58.47,62.76,44.14,47.39,241.00,18.80,49700.00,18.31,84.13,221.54,18.46
2025-11-15,Donovan Mitchell,SG/PG,CLE,MEM,9400,32.21,21.55,43.28,4.60,Confirmed,,Cleveland Cavaliers,Memphis Grizzlies,Donovan Mitchell,11.00,0.31,46.80,79.40,34.00,821.00,8.00,0.30,48.20,81.00,33.70,590.00,4.00,0.31,51.50,91.50,34.40,299.00,2.00,0.32,54.60,109.50,38.30,163.00,1.38,0.59,0.63,2.34,1.06,1348,60.91,102.89,66.66,75.22,39.29,44.34,224.70,20.83,1.43,0.60,0.65,2.40,1.10,1035,57.00,101.99,63.85,77.42,38.00,46.07,227.20,21.21,1.50,0.56,0.69,2.66,1.22,525,56.95,102.67,71.58,85.67,40.29,48.22,225.40,22.85,1.43,0.50,0.67,2.86,1.34,318,51.26,102.38,70.51,92.09,35.16,45.92,236.30,23.11,47700.00,19.71,107.16,205.08,34.92
2025-11-15,Anthony Edwards,SG/SF,MIN,DEN,9500,34.67,18.88,42.55,4.48,,,Minnesota Timberwolves,Denver Nuggets,Anthony Edwards,8.00,0.32,39.30,64.90,29.40,504.00,6.00,0.32,36.70,62.30,26.90,349.00,5.00,0.31,42.70,73.20,31.60,342.00,3.00,0.31,46.40,77.30,34.50,225.00,1.34,0.61,0.62,2.21,1.03,1215,41.48,100.84,43.09,76.53,26.09,46.34,226.80,17.33,1.36,0.59,0.63,2.32,1.07,1016,34.35,101.30,37.27,80.29,21.95,47.30,232.00,15.82,1.35,0.58,0.62,2.32,1.07,516,66.28,101.50,71.99,80.31,42.00,46.85,226.90,18.82,1.34,0.60,0.62,2.24,1.03,313,71.88,101.67,75.33,77.68,45.22,46.63,241.00,19.25,49700.00,19.11,84.13,221.54,18.46
2025-11-15,Miles Bridges,PF/SF,CHA,OKC,8400,31.62,8.57,38.12,4.54,,,Charlotte Hornets,Oklahoma City Thunder,Miles Bridges,12.00,0.24,38.70,64.30,35.40,906.00,10.00,0.25,38.70,65.10,35.90,760.00,5.00,0.26,42.50,74.60,38.60,398.00,3.00,0.27,45.60,80.00,38.40,230.00,1.09,0.60,0.51,1.82,0.85,1227,73.84,100.92,63.46,57.43,38.20,34.56,203.10,19.05,1.08,0.59,0.51,1.81,0.86,1018,74.66,101.12,64.67,57.33,38.44,34.08,207.20,18.68,1.10,0.57,0.53,1.93,0.94,504,78.97,101.02,74.76,61.10,42.59,34.81,225.30,18.86,1.19,0.57,0.59,2.08,1.04,300,76.67,98.66,78.93,65.86,44.99,37.54,222.50,20.49,47800.00,17.57,59.78,225.86,14.14
2025-11-15,Austin Reaves,SG/SF,LAL,MIL,8500,34.99,15.09,36.18,4.26,,,Los Angeles Lakers,Milwaukee Bucks,Austin Reaves,10.00,0.29,48.00,84.90,36.30,777.00,7.00,0.29,43.30,85.30,35.90,542.00,3.00,0.28,38.40,71.00,32.90,215.00,3.00,0.28,38.40,71.00,32.90,215.00,1.32,0.57,0.62,2.34,1.09,1314,59.13,101.17,65.37,81.83,36.96,46.26,227.30,21.12,1.21,0.51,0.56,2.38,1.10,1012,53.56,100.70,59.41,83.13,30.16,42.20,227.50,19.03,1.17,0.54,0.54,2.16,0.99,500,43.00,100.01,42.60,75.51,23.04,40.84,202.90,18.93,1.17,0.54,0.54,2.16,0.99,301,71.43,99.78,70.61,75.51,38.19,40.84,189.40,20.27,49100.00,17.31,60.45,221.88,18.12
